iter	Passed	Remaining
803	90555	472602
804	90673	472516
805	90776	472352
806	90899	472293
807	91006	472151
808	91103	471958
809	91218	471861
810	91314	471659
811	91422	471524
812	91529	471383
813	91638	471251
814	91755	471163
815	91853	470972
816	91948	470769
817	92039	470546
818	92142	470386
819	92270	470357
820	92379	470223
821	92500	470155
822	92595	469953
823	92703	469817
824	92821	469733
825	92940	469654
826	93051	469535
827	93157	469389
828	93268	469269
829	93359	469046
830	93461	468884
831	93564	468724
832	93663	468541
833	93777	468439
834	93877	468265
835	93998	468195
836	94106	468058
837	94209	467901
838	94325	467802
839	94430	467656
840	94533	467494
841	94672	467517
842	94778	467373
843	94894	467277
844	95006	467161
845	95104	466979
846	95204	466805
847	95299	466608
848	95404	466459
849	95547	466494
850	95664	466406
851	95764	466235
852	95856	466023
853	95959	465862
854	96066	465725
855	96169	465566
856	96286	465478
857	96408	465411
858	96516	465280
859	96618	465118
860	96722	464966
861	96820	464783
862	96924	464632
863	97033	464501
864	97146	464392
865	97260	464291
866	97363	464131
867	97471	464000
868	97588	463910
869	97684	463720
870	97812	463681
871	97927	463583
872	98027	463413
873	98132	463266
874	98227	463072
875	98339	462960
876	98458	462878
877	98560	462716
878	98675	462619
879	98787	462504
880	98891	462353
881	98988	462170
882	99098	462047
883	99205	461909
884	99302	461727
885	99409	461592
886	99520	461476
887	99625	461328
888	99721	461139
889	99815	460945
890	99916	460781
891	100010	460585
892	100101	460378
893	100196	460188
894	100296	460016
895	100414	459934
896	100514	459765
897	100627	459661
898	100741	459554
899	100848	459419
900	100978	459389
901	101081	459239
902	101185	459086
903	101295	458965
904	101408	458861
905	101516	458729
906	101631	458630
907	101739	458499
908	101847	458370
909	101944	458189
910	102045	458026
911	102146	457866
912	102247	457704
913	102363	457611
914	102468	457469
915	102578	457348
916	102688	457227
917	102796	457096
918	102903	456963
919	103009	456823
920	103115	456687
921	103219	456539
922	103306	456314
923	103410	456171
924	103516	456033
925	103615	455862
926	103711	455682
927	103818	455549
928	103929	455434
929	104027	455261
930	104137	455142
931	104231	454949
932	104334	454799
933	104464	454767
934	104565	454609
935	104673	454478
936	104764	454279
937	104872	454151
938	104969	453974
939	105070	453813
940	105174	453670
941	105272	453499
942	105374	453346
943	105494	453270
944	105600	453134
945	105708	453002
946	105814	452867
947	105927	452763
